No.,Account Number,Category,Product Name,Location,Amount,Transaction Date
68,11112,Bills,PLDT,Makati City,2800,12/17/2019
69,11112,Bills,PLDT,Makati City,3360,12/17/2019
70,11112,Bills,PLDT,Makati City,3360,12/17/2019
71,11112,Bills,PLDT,Makati City,3360,12/17/2019
72,11112,Bills,PLDT,Makati City,1048.78,12/17/2019
73,11112,Bills,PLDT,Makati City,3360,12/17/2019
74,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
75,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
76,11112,Bills,PLDT,Makati City,1048.81,12/17/2019
77,11112,Bills,PLDT,Makati City,1048.78,12/17/2019
78,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
79,11112,Bills,PLDT,Makati City,4408.81,12/17/2019
80,11112,Bills,PLDT,Makati City,4408.81,12/17/2019
81,11112,Bills,PLDT,Makati City,1048.81,12/17/2019
82,11112,Bills,PLDT,Makati City,717.77,12/17/2019
83,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
84,11112,Bills,PLDT,Makati City,3360,12/17/2019
85,11112,Bills,PLDT,Makati City,4408.81,12/17/2019
86,11112,Bills,PLDT,Makati City,3360,12/17/2019
87,11112,Bills,PLDT,Makati City,3360,12/17/2019
88,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
89,11112,Bills,PLDT,Makati City,1048.81,12/17/2019
90,11112,Bills,PLDT,Makati City,1048.78,12/17/2019
91,11112,Bills,PLDT,Makati City,3360,12/17/2019
92,11112,Bills,PLDT,Makati City,1410.1,12/17/2019
93,11112,Bills,PLDT,Makati City,3360,12/17/2019
94,11112,Bills,PLDT,Makati City,4461.14,12/17/2019
95,11112,Bills,PLDT,Makati City,3360,12/17/2019
96,11112,Bills,PLDT,Makati City,861.3,12/17/2019
97,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
98,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
99,11112,Bills,PLDT,Makati City,3360,12/17/2019
100,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
101,11112,Bills,PLDT,Makati City,3360,12/17/2019
102,11112,Bills,PLDT,Makati City,3360,12/17/2019
103,11112,Bills,PLDT,Makati City,3360,12/17/2019
104,11112,Bills,PLDT,Makati City,3360,12/17/2019
105,11112,Bills,PLDT,Makati City,3360,12/17/2019
106,11112,Bills,PLDT,Makati City,3360,12/17/2019
107,11112,Bills,PLDT,Makati City,1048.78,12/17/2019
108,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
109,11112,Bills,PLDT,Makati City,4408.78,12/17/2019
110,11112,Bills,PLDT,Makati City,3360,12/17/2019
111,11112,Bills,PLDT,Makati City,3360,12/17/2019
112,11112,Bills,PLDT,Makati City,4408.78,12/17/2019
113,11112,Bills,PLDT,Makati City,3360,12/17/2019
114,11112,Bills,PLDT,Makati City,3360,12/17/2019
115,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
116,11112,Bills,PLDT,Makati City,3650.15,12/17/2019
117,11112,Bills,PLDT,Makati City,3360,12/17/2019
118,11112,Bills,PLDT,Makati City,3360,12/17/2019
119,11112,Bills,PLDT,Makati City,3360,12/17/2019
120,11112,Bills,PLDT,Makati City,3360,12/17/2019
121,11112,Bills,PLDT,Makati City,3360,12/17/2019
122,11112,Bills,PLDT,Makati City,3360,12/17/2019
123,11112,Bills,PLDT,Makati City,3360,12/17/2019
124,11112,Bills,PLDT,Makati City,1048.78,12/17/2019
125,11112,Bills,PLDT,Makati City,3360,12/17/2019
126,11112,Bills,PLDT,Makati City,4770.15,12/17/2019
127,11112,Bills,PLDT,Makati City,4770.15,12/17/2019
128,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
129,11112,Bills,PLDT,Makati City,1048.78,12/17/2019
130,11112,Bills,PLDT,Makati City,1048.81,12/17/2019
131,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
132,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
133,11112,Bills,PLDT,Makati City,5263.39,12/17/2019
134,11112,Bills,PLDT,Makati City,3848.78,12/17/2019
135,11112,Bills,PLDT,Makati City,3360,12/17/2019
136,11112,Bills,PLDT,Makati City,3360,12/17/2019
137,11112,Bills,PLDT,Makati City,3360,12/17/2019
138,11112,Bills,PLDT,Makati City,3360,12/17/2019
139,11112,Bills,PLDT,Makati City,3360,12/17/2019
140,11112,Bills,PLDT,Makati City,3360,12/17/2019
141,11112,Bills,PLDT,Makati City,3360,12/17/2019
142,11112,Bills,PLDT,Makati City,3360,12/17/2019
143,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
144,11112,Bills,PLDT,Makati City,7667.42,12/17/2019
145,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
146,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
147,11112,Bills,PLDT,Makati City,856.03,12/17/2019
148,11112,Bills,PLDT,Makati City,1104.78,12/17/2019
149,11112,Bills,PLDT,Makati City,1343.39,12/17/2019
150,11112,Bills,PLDT,Makati City,1410.15,12/17/2019
151,11112,Bills,PLDT,Makati City,1637.94,12/19/2019
152,11112,Bills,PLDT,Makati City,1099.68,12/19/2019
153,11112,Bills,PLDT,Makati City,985.21,12/19/2019
154,11112,Bills,PLDT,Makati City,617.94,12/22/2019
155,11112,Bills,PLDT,Makati City,3920,12/26/2019
156,11112,Bills,PLDT,Makati City,1099.68,12/26/2019
157,11112,Bills,PLDT,Makati City,1936.78,12/28/2019
158,11112,Bills,PLDT,Makati City,1163.46,12/28/2019
159,11112,Bills,BAYANTEL,Quezon City,1499,12/31/2019
160,11112,Bills,BAYANTEL,Quezon City,3360,12/31/2019
161,11112,Bills,BAYANTEL,Quezon City,3360,12/31/2019
162,11112,Bills,BAYANTEL,Quezon City,3360,12/31/2019
163,11112,Bills,BAYANTEL,Quezon City,3360,12/31/2019
164,11112,Bills,BAYANTEL,Quezon City,3360,12/31/2019
165,11112,Bills,BAYANTEL,Quezon City,3360,12/31/2019
166,11112,Bills,BAYANTEL,Quezon City,3360,12/31/2019
167,11112,Bills,BAYANTEL,Quezon City,3360,12/31/2019
168,11112,Bills,BAYANTEL,Quezon City,3360,12/31/2019
169,11112,Bills,BAYANTEL,Quezon City,3360,12/31/2019
170,11112,Bills,BAYANTEL,Quezon City,3360,12/31/2019
171,11112,Bills,BAYANTEL,Quezon City,3360,12/31/2019
172,11112,Bills,BAYANTEL,Quezon City,3360,12/31/2019
173,11112,Bills,BAYANTEL,Quezon City,3360,12/31/2019
174,11112,Bills,BAYANTEL,Quezon City,3360,12/31/2019
175,11112,Bills,BAYANTEL,Quezon City,3360,12/31/2019
176,11112,Bills,BAYANTEL,Quezon City,3360,12/31/2019
177,11112,Bills,MERALCO,Pasig City,22930.09,01/01/2020
178,11112,Bills,PLDT,Makati City,4770.15,01/01/2020
179,11112,Bills,PLDT,Makati City,3360,01/01/2020
180,11112,Bills,PLDT,Makati City,3360,01/01/2020
181,11112,Bills,PLDT,Makati City,3360,01/01/2020
182,11112,Bills,PLDT,Makati City,3920,01/01/2020
183,11112,Bills,PLDT,Makati City,3360,01/01/2020
184,11112,Bills,PLDT,Makati City,3360,01/01/2020
185,11112,Bills,PLDT,Makati City,3360,01/01/2020
186,11112,Bills,PLDT,Makati City,3360,01/01/2020
187,11112,Bills,PLDT,Makati City,3920,01/01/2020
188,11112,Bills,MERALCO,Pasig City,21932.32,01/02/2020
189,11112,Bills,PLDT,Makati City,1410.1,01/04/2020
190,11112,Bills,PLDT,Makati City,1410.1,01/04/2020
191,11112,Bills,MERALCO,Pasig City,23791.37,01/06/2020
192,11112,Bills,MERALCO,Pasig City,18976.5,01/06/2020
193,11112,Bills,MERALCO,Pasig City,18927.33,01/06/2020
194,11112,Bills,MERALCO,Pasig City,52473.82,01/06/2020
195,11112,Bills,MERALCO,Pasig City,42543.08,01/06/2020
196,11112,Bills,MERALCO,Pasig City,34599.74,01/06/2020
197,11112,Bills,MERALCO,Pasig City,27506.59,01/06/2020
198,11112,Bills,MERALCO,Pasig City,22143.74,01/07/2020
199,11112,Bills,MERALCO,Pasig City,24133.2,01/07/2020
200,11112,Bills,MERALCO,Pasig City,17511.39,01/07/2020
201,11112,Bills,MERALCO,Pasig City,30892.76,01/07/2020
202,11112,Bills,PLDT,Makati City,1048.78,01/08/2020
203,11112,Bills,MERALCO,Pasig City,15881.34,01/12/2020
204,11112,Bills,MERALCO,Pasig City,11503.96,01/12/2020
205,11112,Bills,MERALCO,Pasig City,12620,01/12/2020
206,11112,Bills,MERALCO,Pasig City,15112.07,01/12/2020
207,11112,Bills,MERALCO,Pasig City,35117.16,01/12/2020
208,11112,Bills,MERALCO,Pasig City,21858.11,01/12/2020
209,11112,Bills,MERALCO,Pasig City,12262.65,01/13/2020
210,11112,Bills,PLDT,Makati City,691.75,01/13/2020
211,11112,Bills,MERALCO,Pasig City,29597.66,01/14/2020
212,11112,Bills,MERALCO,Pasig City,28174.92,01/14/2020
213,11112,Bills,MAYNILAD,Quezon City,2807.71,01/14/2020
214,11112,Bills,MAYNILAD,Quezon City,1000.87,01/14/2020
215,11112,Bills,MERALCO,Pasig City,37341.14,01/15/2020
216,11112,Bills,MERALCO,Pasig City,102.28,01/19/2020
217,11112,Bills,MERALCO,Pasig City,22915.47,01/19/2020
218,11112,Bills,MERALCO,Pasig City,11676.08,01/19/2020
219,11112,Bills,MERALCO,Pasig City,21260.92,01/19/2020
220,11112,Bills,MANILA WATER,Quezon City,17562.36,01/19/2020
221,11112,Bills,MERALCO,Pasig City,45687.21,01/20/2020
222,11112,Bills,MERALCO,Pasig City,6462.65,01/20/2020
223,11112,Bills,MERALCO,Pasig City,22847.97,01/20/2020
224,11112,Bills,MERALCO,Pasig City,16303.22,01/20/2020
225,11112,Bills,MERALCO,Pasig City,39352.03,01/20/2020
226,11112,Bills,MAYNILAD,Quezon City,3108.85,01/20/2020
227,11112,Bills,MERALCO,Pasig City,7325.4,01/21/2020
228,11112,Bills,MERALCO,Pasig City,14286.58,01/21/2020
229,11112,Bills,MERALCO,Pasig City,35519.04,01/21/2020
230,11112,Bills,MANILA WATER,Quezon City,697.8,01/22/2020
231,11112,Bills,MERALCO,Pasig City,24248.24,01/22/2020
232,11112,Bills,MERALCO,Pasig City,19668.09,01/22/2020
233,11112,Bills,MAYNILAD,Quezon City,9332.42,01/22/2020
234,11112,Bills,MERALCO,Pasig City,22360.49,01/26/2020
235,11112,Bills,MERALCO,Pasig City,15789.71,01/26/2020
236,11112,Bills,MERALCO,Pasig City,36947.41,01/26/2020
237,11112,Bills,MERALCO,Pasig City,17062.22,01/26/2020
238,11112,Bills,MERALCO,Pasig City,27235.66,01/27/2020
239,11113,Grocery,THE LANDMARK SUPERMARKET,Quezon City,1044.9,11/04/2019
240,11113,Grocery,THE LANDMARK SUPERMARKET,Quezon City,672.75,11/06/2019
241,11113,Medicine and Food Supplement,MERCURY DRUG,Quezon City,672.75,11/06/2019
242,11113,Grocery,THE LANDMARK SUPERMARKET,Quezon City,1211.5,11/11/2019
243,11113,Vehicle Maintenance,SHELL PARADON GASOLINE,Quezon City,1065,11/12/2019
244,11113,Vehicle Maintenance,PETRON GASOLINE,Quezon City,665,11/13/2019
245,11113,Department Store,THE LANDMARK DEPARTMENT,Quezon City,179.75,11/14/2019
246,11113,Grocery,S&R THE FORT,Taguig,149,11/14/2019
247,11113,Grocery,THE LANDMARK SUPERMARKET,Quezon City,1305.45,11/18/2019
248,11113,Medicine and Food Supplement,MERCURY DRUG,Quezon City,125,11/18/2019
249,11113,Grocery,EVER SUPT.,Quezon City,450,11/18/2019
250,11113,Grocery,THE LANDMARK SUPERMARKET,Quezon City,5024.05,11/21/2019
251,11113,Bills,GLOBE ICONIC STORE,Taguig,5100,11/21/2019
252,11113,Vehicle Maintenance,SHELL PARADON GASOLINE,Quezon City,1000,11/23/2019
253,11113,Membership Fee,MONTHLY MEMBERSHIP FEE,,40,11/25/2019
254,11114,Home Appliances,SM APPLIANCE,Quezon City,1833.25,02/02/2020
255,11114,Grocery,EVER SUPT.,Quezon City,1812.75,02/05/2020
256,11114,Grocery,SM SUPERMARKET,Quezon City,2134.25,02/11/2020
257,11115,Department Store,THE LANDMARK DEPARTMENT,Quezon City,399.25,12/30/2019
258,11115,Grocery,THE LANDMARK SUPERMARKET,Quezon City,2012.45,12/30/2019
259,11115,Department Store,LANDMARK,Quezon City,2361,12/30/2019
260,11115,Vehicle Maintenance,PETRON BAGBAG R-SIX,Quezon City,1500,12/30/2019
261,11115,Grocery,THE LANDMARK SUPERMARKET,Quezon City,2125.85,01/08/2020
262,11115,Medicine and Food Supplement,MERCURY DRUG,Quezon City,1397,01/12/2020
263,11115,Medicine and Food Supplement,MERCURY DRUG,Quezon City,332.5,01/21/2020
264,11116,Gadgets,Data Blitz ,Quezon City,2848.83,02/14/2020
265,11116,Financing Company,BALCON 2,,1305.05,02/14/2020
266,11117,Food,SHAKEYS,Bulacan,1011.34,12/19/2019
267,11117,Food,SIZZLIN STAKE ,Bulacan,538,12/26/2019
268,11117,Food,CAFÉ MARY GRACE,Quezon City,1896,12/31/2019
269,11117,Food,TOKYO TOKYO,Quezon City,1170,12/31/2019
270,11118,Grocery,SM SUPERMARKET,Quezon City,1234.3,12/11/2010
271,11118,Grocery,WATSON,Quezon City,1650.5,12/11/2010
272,11118,Department Store,The SM STORE,Quezon City,1485.5,12/11/2010
273,11118,Department Store,MARKS & SPENCER ,Quezon City,810,12/15/2019
274,11118,Department Store,MARKS & SPENCER ,Quezon City,1640,12/15/2019
275,11118,Department Store,THE LANDMARK DEPARTMENT,Quezon City,341.5,12/15/2019
276,11118,Gadgets,INSTL POWERMAC CENTER,Quezon City,20310.21,01/10/2020
277,11119,Vehicle Maintenance,SHELL,Taguig,2272.24,06/29/2019
278,11119,Vehicle Maintenance,SHELL,Pasig City,2728.01,06/30/2019
279,11119,Toys,HAMLEYS BHS CENTRAL,Taguig,7900,06/30/2019
280,11119,Entertainment,TICKET WORLD,Makati City,5662.66,07/10/2011
281,11119,Entertainment,NETFLIX.COM,,370,07/11/2019
282,11119,Bills,PHIL LONG DISTANCE,Makati City,4663,07/19/2019
283,11119,Bills,MANILA ELECTRIC COMPANY,Pasig City,12306.41,07/22/2019
284,111110,Food,KING CHEF,Pasig City,2587,07/22/2019
285,111110,Food,KING CHEF,Quezon City,2587,07/22/2019
